Abbreviation,Meaning,Example
አይችልም/አይገባውም,,መልስ፦በእኛ በኩል ሕብረታችንን ማጠናከር ሕዝቡን ማደራጀትና ትግላችንን ማፋፋም ነው። የብሄራዊ ውይይት ጥሪ የቀረበለት መንግሥት ለዚሁ አፋጣኝ ምላሽ መስጠት አለበት። የሰባት አመቱ የህወሓት ፖለቲካ ሀገራችንን ለጥፋት ዳርጓልና ሊቀጥል አይችልም/አይገባውም።
አፈወርቅጠቋሚ/ፈታሽኬንያ,,  16አብይ አፈወርቅጠቋሚ/ፈታሽኬንያ 
ኢ/ሠ/ማ,የኢትዮጵያ ሰራተኛ ማህበር,የኢሠማኮ፣ የንግድ ህትመትና ቴክኒክ ኢ/ሠ/ማ ፌዴሬሽን ተወካይና መላው የድርጅቱ ሰራተኞች በተገኙበት በዚሁ ስብሰባ ላይ አቶ አሰፋ እንደተናገሩት ሠራተኛው ከራሱና ከ9 ሺህ ቤተሰቡ ጋር የሚያጋጥመው የወደፊት እጣ ፋንታ ምን ያህል አስፈሪና ዘግናኝ ሊሆን እንደሚችል መንግሥት ከወዲሁ ሊያጤነውና አስፈላጊውን ምላሽ ሊሰጥበት ይገባል ብለዋል።
ኢ/ር,ኢንጂነር,የብ/ጀ/ተፈራ ማሞ፣ አቶ አሣምነው ፅጌ (የቀድሞው ብ/ጀኔራል)፣ ሌ/ኮሎኔል ደምሰው አንተነህ፣ ሻለቃ መኮንን ወርቁ፣ ሌ/ኮ/ አበራ አሰፋ፣ ሌ/ኮ ዓለሙ ጌትነት፣ ሌ/ኮ ሰለሞን አሻግሬ፣ ሌ/ኮ ጌታቸው ብርሌ፣ ሻምበል ተመስገን ባይለኝ፣ ሻለቃ አዱኛ አለማየሁ (የሚስጥር ስም እሸቴ)፣ ሌ/ኮ ፋንታሁን ሙሀባ፣ ሻለቃ መሠከረ ካሣ፣ ሻለቃ ምስጋናው ተሰማ፣ ሻለቃ ፋናዬ ውቤ፣ መ/አ አባቡ ተፈራ፣ ሻለቃ አደፍርስ አሳምነው፣ አቶ ክፍሌ ስንሻው፣ የሺዋስ መንገሻ፣ መንግሥቱ አበበ፣ ወ/ሮ እማዋይሽ ዓለሙ፣ ጐሽ ይራድ ፀጋው (ጠበቃ)፣ መላኩ ተፈራ፣ ዋ/ሳጅን አመራር ባያብል፣ ም/ሳጅን ጐበና በላይ፣ ረ/ሳጅን ይበልጣል ብርሃኑ፣ ም/ሳጅን የሺዋስ ምትኩ፣ ሣጅን ውድነህ ተመስገን፣ ጌቱ ወርቁና ጽጌ ሃብተማርያም በወ/መ/ሥ/ሥ/ቁ 27 ለፖሊስ እና 35 ለፍርድ ቤት በሰጡት ቃልና በዐቃቤ ሕግ ምስክሮች ስለተመሰከረባቸው በሁሉም ክሶች በማረሚያ ቤት ሆነው እንዲከላከሉ በይኗል። በተጨማሪም ኢ/ር አራጋው አስፋው፣ ሣጅን አይተን ካሣና አቶ ጌቱ ወልዴ እያንዳንዳቸው በሦስት ሺ ብር ዋስ ተለቀው በውጭ እንዲከላከሉ ፍርድ ቤቱ ብይን ሰጥቷል። በሌለበት ክስ ተመስርቶበት የነበረው አቶ አማኑኤል (የአባቱ ስም ያልታወቀ) በነፃ ተሰናብቷል።
ኢር/ግዛቸው,ኢንጂነር ግዛቸው,በሀገሪቱ የተለያየ ክፍሎች በደል የደረሰባቸው ሰዎች በሺ የሚቆጠሩ መሆናቸውን የፓርቲዎ ምክትል ሊቀመንበር ኢ/ር ግዛቸው ሽፈራው ጠቅሰው የዜጎች ሰብአዊ መብት እየተጣሰ መሆኑን ለመንግሥት አካላት ስናመለክት ግን «መሠረተ ቢስ ነው ሃሰት ነው ማስረጃ የላችሁም» የሚል መልስ እናገኛለን ብለዋል። «የመንግሥት አካላት እኛን ስለማያምኑ ነው መከራ የደረሰባቸው ዜጎች ራሳቸው የምስክርነት ቃላቸውን እንዲሰጡ የጋበዝናቸው» ብለዋል ኢር/ግዛቸው።
ኢተፖድኅ/አብኮ,የኢትዮጵያ ተቃዋሚ ፖለቲካ ድርጅቶች ኅብረት,ኢተፖድኅ/አብኮ
ኢትዮጵያዊ/ኢትዮጵያዊት,ኢትዮጵያዊ/ኢትዮጵያዊት,1. ወላጆቹ/ወላጆቿ ወይም ከወላጆቹ/ ከወላጆቿ አንደኛቸው ኢትዮጵያዊ/ኢትዮጵያዊት የሆነ/የሆነች የኢትዮጵያ ዜጋ ነው/ናት።
ኢዲዩ/ኢዴኅፓ,የኢትዮጵያ ዲሞክራሲያዊ ዩኒቲ/የኢትዮጵያ ዴሞክራሲያዊ ኅብረት ፓርቲ," ""የኅብረታችን ጅማሬ የዓላማችን ዘላቂ ውጤት ይሆናል"" ኢዲዩ/ኢዴኅፓ/"
ኢዴኅፓ/ኢድዩ,የኢትዮጵያ ዴሞክራሲያዊ ኅብረት ፓርቲ/የኢትዮጵያ ዲሞክራሲያዊ ዩኒቲ,ኢ.ዴ.ኅ.ፓ ከሽግግሩ መንግሥት ጀምሮ የኢትዮጵያ ሕዝብ እና የኤርትራን ሕዝብ ያላሳተፈ የኢሓዴግና የሻዕቢያ ስምምነት ብቻ ተቀባይነት የሌለውና የኢትዮጵያን ጥቅም ያላስከበረ መሆኑን የኢትዮጵያ ሕዝብ እንደሚያውቀው ኢዴኅፓ/ኢድዩ/ በተደጋጋሚ ስቃወም መቆየቱ ይታወሳል። በተለይም የኢትዮጵያ የወደብ ባለቤትነት ጉዳይ አሥልፎ ለኤርትራ የሰጠ ስምምነት ዘለቄታ የሌለው በመሆኑ አሰብ የኢትዮጵያ ወደብ መሆኗን ለኢትዮጵያ ሕዝብ ከመግለፃችን በላይ የአለም ኅብረተሰብ እንዲያውቀው ፓርቲው ጥረት አድርጓል።
ኣጝሕ/ረስ,,ሁለቱም አገሮች አለማቀፍ የሰብአዊነትን ሕግ በተለይም የ1949 ዓ.ም የጄኔሻ ኰሎቬንሽኖችን መሠረት አድርገው ሳይዘገዩ የጦር ምርኰኞችንና ሌሎች በጦርነት ግጭቱ ምክንያት የታሠሩትን ሰዎች ሊለቁና መልሰው ሊልኩ ተስማምተዋል። ቀደም ሲልም በሁለቱ አገሮች መካከል የተፈረሙትን የማእቀፍ ስምምነትና የግጭት ማቆሚያ ስምምነቶችን መሠረት አድርገው የ1964 የአ.አ.ድ የካይሮ ጉባኤ ውሳኔ (ረሶሉቲኦን ኣጝሕ/ረስ/ 16(1)) ሊያከብሩዋቸውና ሊገዙላቸው ተስማምተዋል። ገለልተኛው የድንበር ኰሚሽኑ የተቋቋመውም በዚህ ውሳኔ መሠረት ነው።
ኤ/ማ/ሹም,ኤታማዡር ሹም,በስብሰባው ላይ ከተሳተፉት መካከል ግን መከላከያ ሚ/ር ሆነው የተሾሙት ተፈራ ዋልዋና የትግራዩ ሚሊሺያ ኤ/ማ/ሹም የሆኑት ፃድቃን ተገኝተው እንደነበር ከምንጮቻችን ለመረዳት ችለናል።
ኤሌክትሪክ/ዮ,,ከነዚህ አለመአቀፍ ትላልቅ ድርጅቶች ውስጥ የጀነራል ኤሌክትሪክ/ዮ.ኤስ.ኤ/ የሎክሂድ ማርቲን/ዮ.ኤስ.ኤ/ የታዲሮንና/እስራኤል/ ካናዲያን ባንክስ ኖት ኦቨርሲስ ሊማትድ/ካናዳ/ የተባሉ ግዙፍ ኪባንያዎች የፓስፖርቱን ሥራ ለመረከብ ከሚጫረቱት ውስጥ የተወሠኑት መሆናቸው ተመልክቷል።
ኤርትራ/የሻዕቢያ,,"በዳሉል ወረዳ በስተሰሜን በኩል ""በዳ "" ከሚባለው ቦታ ወደ ኤርትራ ምድር የሚፈስ ወንዝ የሚገኝ ሲሆን በዚህ ወንዝ የኤርትራና የዳሉል ወረዳ ህዝብ አትክልትና ፍራፍሬ በማልማት የሚጠቀምበት ነው። ሕወሓት በትግሉ ወቅትም ከደደቢት ግማሽ ጦሩን በማስፈር ከፍተኛ የአትክልት አዝመራ እያመረተ ሲጠቀም በሌላ በኩል ደግሞ ሻዕቢያም ይጠቀምበት የነበረ ሲሆን ከ1983 ወዲህ የኤርትራ በዳ፣ የአፋር በዳ በሚል ለሁለት ተከፍሎ ነበር። ይህን ""በዳ "" የተባለውን የአትክልት ቦታ ሙሉ በሙሉ ማለትም ""የአፋር በዳን "" ና የኤርትራን በዳ በቁጥጥር ሥር ለማድረግ ኤርትራ/የሻዕቢያ/ ከ1983 -- 1989 ዓ.ም ድረስ ጦር አስፍሮ ቆይቷል።"
ኤስ/IFES,,እነርሱም ኢንተርናሽናል ሪፐብሊካን ኢንስቲትዩት፣ አይ.ኤፍ.ኢ.ኤስ/IFES እና ናሽናል ዴሞክራቲክ ኢንስቲትዮት ናቸው። የቀድሞ የአሜሪካ የውጭ ጉዳይ ሚኒስትር የነበሩት ማድሊን ኦልብራይትና ሌሎች ከፍተኛ የአሜሪካ ባለሥልጣናት በዓለም ላይ ከ20 ዓመታት በላይ በዓለም ዙሪያ መስራታቸው የተነገረላቸው እነዚህ ድርጅቶች ተባረው ሐገር እንዲለቁ ሲገደዱ በታሪካቸው ይህ የመጀመሪያቸው መሆኑን ባለፈው ሳምንት ለጠ/ሚ/ር መለስ ዜናዊ በፃፉት ደብዳቤ አስታውቀዋል። እነዚህ ተቋማት በአሜሪካ መንግስት የገንዘብ ድጋፍ የሚንቀሳቀሱ ከሪፐብሊካንም ሆነ ከዴሞክራቲክ የአሜሪካ ፓርቲዎች ጋር ግንኙነት ያላቸው መሆናቸው ተመልክቷል።
ኤፍ/ሥሥሆላ,,በወሩ መጀመሪያ ላይ የሡዳን መንግሥት ከደቡብ ሡዳን የነጻነት ተዋጊ ከኤስ.ፒ.ኤስ.ኤ. ተገንጥለው ከመንግሥት ጋር በመደራደር ለሹመት የበቁትንና ከሡዳን መንግሥት ጦር ጋር የተቀላቀሉትን በኤስ.ኤስ.ዲ.ኤፍ/ሥሥሆላ/ ጥላ ሥር የተደራጁትን የ5 አንጃ ሃይሎች ሳያስጠነቅቅ መኖሪያ ካምፓቻቸውን በመፈተሽ የመሪዎቻቸውን ጥምር ትጥቅ በማስፈታቱ በመሪዎቹና በሠራዊቱ ላይ ከፍተኛ ቁጭትና ንዴት ማሳደሩን የቢቢሲ ሬዲዮ ገለጠ።
እ/ኤ/አ,እንደ ኤሮፓውያን አቆጣጠር,መንግሥታዊው ኢትዮጵያን ሄራልድ ዕለታዊ የእግሊዝኛ ጋዜጣ ረቡዕ እ/ኤ/አ በኦገስት 17/2005 «ጉሜ እና ክላርክ ገለልተኛ ታዛቢዎች ወይንስ ስውር ነጋዴዎች?» በሚል ርዕስ ባቀረቡት ዘገባ ሁለቱን ከፍተኛ ልዑካን ቀጥቅጠዋቸዋል። ይህ ጽሁፍ በብዕር ስም የቀረበ የመንግስት ባለሥልጣናት አቋም እንደሆነም ታዛቢዎች ያጠራጠረ አልሆነም። በእነዚህ ከፍተኛ ልዑካን ላይ በመንግስት ሚዲያ ከትችቱ ባሻገር ወደ ዘለፋና ስም ማጥፋት የወረደ ዘመቻ መጀመሩ አነጋጋሪ ሆኗል።
እ/ጉ/ም/ቤት,እስልምና ጉዳይ ምክር ቤት,በክልል 4 ምዕራብ ወለጋ ጊምቢ ከተማ በሚገኘው ብቸኛው ኑር መስጅድ ኢማም የነበሩት ሸኽ ሙሃመድ ሁሴን በኦሮሚያ እ/ጉ/ም/ቤት ትዕዛዝ አማካይነት ከሥራቸው እንዲታገዱ መደረጉን ከመስጅዱ ኮሚቴ አባል የሆኑ አንድ ግለሰብ ለሪፖርተራችን ገለፁ።
እነጄ/ል,እነጄነራል,በተያያዘ ዜና ባለፈው ሳምንት በጠ/ሚ/ር መለስ ዜናዊ ሰብሳቢነት ጄኔራሎችን ሰብስበው በድጋሜ ተሃድሶው ለምን እንዳስፈለገ መግለፃቸውንና ከዚህ ቀደም እነጄ/ል ታደሰ በርሄ(ጋውና)በነበሩበት ስብሰባ ላይ እንደገጠማቸው ያለ ተቃውሞ እንዳልነበረና አንዳንድ ጄኔራሎችም ይቅርታ ጭምርእንደጠየቁ ውስጥ አዋቂዎች ገልፀዋል።
እፅ/ሄሮይን,እፅ/ሄሮይን,ታህሳስ 26 ቀን 1990 ዓ/ም ከአሜሪካ የተሠራጨው ዜና እንዳመለከተው ግምቱ 1.1 ሚሊዮን ብር የሚሆን አደገኛ እፅ/ሄሮይን/ በቅርቡ ህንድ ሊገባ ሲል ኒውደልሂ አውሮፕላን ማረፊያ በፍተሻ ሊያዝ መቻሉን አመልክቷል።
ኦ/ቤተ,ኦርቶዶክስ ቤተክርስቲያን,የግሪክ ኦ/ቤተ- ክርስቲያን ለኢ/ኦ/ተ/ቤተ- ክርስቲያን መነኮሳትና ካህናት ነፃ የመንፈሳዊ ትምህርት ዕድል በመስጠት ስታስተምርና ስታሰለጥን መቆየቷም የሚታወስ ነው። በጳጳስ ደረጃም ባይሆን በካህን ደረጃ መድባ በግሪክ የሚኖሩ ኢትዮጵያውያን መንፈሳዊ አገልግሎት እንዲያገኙ ስታደርግ ትቆይ እንጂ በቅርብ ጊዜ ግን የኢትዮጵያ ኦ/ተ/ቤተ- ክርስቲያን በቅርቡ ከሾመቻቸው ጳጳሳት መካከል ለ16 ዓመታት ያህል በከፍተኛ መንፈሳዊ ትምህርትና ክህነታዊ አገልግሎት ላይ የቆዩትን አቡነ ዮሐንስ (ቆመስ አባ ገ/ዮሐንስ) መንበረ ጵጵስናቸውን አቴንስ (ግሪክ) በማድረግ መድባ ነበር።
ኦ/ተ/ቤ/ክርስቲያን,ኦርቶዶክስ ተዋህዶ ቤተክርስቲያን,ይህ በዚህ እንዳለ የብፁዕ አቡነ ጢሞቴዎስ የኢትዮጵያ ኦ/ተ/ቤ/ክርስቲያን የልማት ኮሚሽን ኮሚሽነር በአቡነ ጳውሎስ ትዕዛዝ መነሳትና የኮሚሽኑ ቦርድ አባላት መበተን ከየአቅጣጫው ተቃውሞን ቀስቅሷል ተብሏል። ይህን በአቡነ ጳውሎስና በልዩ አማካሪያቸው ናቸው በሚባሉት በእህታቸው ልጅ ውሳኔ ከተወሰደው እርምጃ በልማት ኮሚሽኑ ም/ኮሚሽነር የሆኑት አቶ ፀጋዬ በርሄም ያልተስማሙበት መሆኑን የቅርብ ምንጮች ሲናገሩ ይሰማል።
ኦ/ተ/ቤተ,ኦርቶዶክስ ተዋህዶ ቤተክርስቲያን,የግሪክ ኦ/ቤተ- ክርስቲያን ለኢ/ኦ/ተ/ቤተ- ክርስቲያን መነኮሳትና ካህናት ነፃ የመንፈሳዊ ትምህርት ዕድል በመስጠት ስታስተምርና ስታሰለጥን መቆየቷም የሚታወስ ነው። በጳጳስ ደረጃም ባይሆን በካህን ደረጃ መድባ በግሪክ የሚኖሩ ኢትዮጵያውያን መንፈሳዊ አገልግሎት እንዲያገኙ ስታደርግ ትቆይ እንጂ በቅርብ ጊዜ ግን የኢትዮጵያ ኦ/ተ/ቤተ- ክርስቲያን በቅርቡ ከሾመቻቸው ጳጳሳት መካከል ለ16 ዓመታት ያህል በከፍተኛ መንፈሳዊ ትምህርትና ክህነታዊ አገልግሎት ላይ የቆዩትን አቡነ ዮሐንስ (ቆመስ አባ ገ/ዮሐንስ) መንበረ ጵጵስናቸውን አቴንስ (ግሪክ) በማድረግ መድባ ነበር።
ኦ/ተ/እምነትና,ኦርቶዶክስ ተዋህዶ እምነትና,በአስተዳደርና በቤተክርስቲያን ሕግ አንፃር ደግሞ የሚፈፀመውን በደል በእንዲህ ይዘረዝሩታል። «አስተዳዳሪው 10 አለቃ ወ/ጊዮርጊስ ወ/ማሪያም ከኢትዮጵያ ኦ/ተ/እምነትና ስርዓት ውጪ ብፅአን ጳጳሳት በሚያርፉበት ቤት ውስጥ አንዲት ወ/ሮ (ስሟ ተጠቅሷል) በሚስትነት አግብተው ይኖሩበታል ይህም ድርጊት በዓይን የሚታይ ሁሉም የሚያውቀው ነው። ከዚህ በላይ በማን አለብኝነት እላይ አባ ጳውሎስ ጋር ብትሄዱም እኔው ነኝ እዚህም እኔው ነኝ በግልጽ በመናገር አገልጋይ ካህናትን ያለምንም ቅድመ ሁኔታ በሰበብ ባስባቡ ያባርራሉ። በማስገደድም ያለ ጊዜያቸው በጡረታ ያገላሉ። በገዳሙ መኪናና የነዳጅ ወጪ ለግል ጉዳያቸው እንደፈለጉ ከከተማ ከተማ እንደቱሪስት ይሽከረከራሉ» በማለት አቤቱታቸውን ሕዝብና ምዕመን የሚመለከተው አካልም አውቆ እልባት እንዲሰጥበት በማለት ገልፀዋል።
ከ/ኡኝሕጭር,,በጥያቄያቸው መሠረትም ከአመሻሹ 10 ሰዓት ከ25 ደቂቃ ጀምሮ እስከ 12 ሰዓት ከ5 ደቂቃ ድረስ 30 የማ/ቡ ተወካዮችን የያዘ ቡዳን ከ/ኡኝሕጭር/ የካምፑ የበላይ ተጠሪ ከስራ አስዲያጅና ከፕሮቴክሽን ኃላፊው ጋር በቀና የመንፈስ የሰመረ ውይይት ያካሄዱ ሲሆን የ/ኡኝሕጭር/ ኅላፊዎችም ከስደተኛው ከቀረቡላቸ ጥያቄዎች መሃል መመለስ የሚችሉትን ያህል ምላሽ ሰጥተው ለቀሪዎቹ ከኬንያ መንግስት ተወካዮች ጋር በጋራ ለመምከር በይደር አቆይተውታል።
ከ/እ,,እንደሚታወቀው በነፃው ኢኮኖሚ መርህ ለሚመሩ አገሮች የገንዘቡን ሀይል የሚያሽከረክረው ይኸው ድርጅት መሆኑ ግልጽነው። በዚህ ረገድ /እ.ም.ፍ/ አቅዶ የሚሰጠው ብድር በድርጅቱ ትዕዛዝ እስካልተፈፀመ ድረስ የነፃ ገበያውን መርህ ማራመድ አይቻልም። የሚኖረው አማራጭ አገሪቱ የምትከተለውን ፖሊሲ መለወጥ አሊያም ድርጅቱ በሚያዘው መሠረት መፈፀም ናቸው። በዚህ ረገድ የአቶ መለስ መንግሥት የወሰደው አቋም የመንግስት ተቋሞች በተሸጡበትና የግል ባለሀብቶች እየተንቀሳቀሱ ባሉበት ደረጃ ከ/እ.ም.ፍ/ ጋር ግንኙነት ማቋረጥ አገሪቱ ከፍተኛ የኢኮኖሚ ቀውስ ላይ ትወድቃለች ሲሉ የኢኮኖሚ ኤክስፐርቶች ይተቻሉ። እንደ ኢኮኖሚ ኤክስፐርቶች አባባል ምንም በሌለ ኢኮኖሚ ላይ አቶ መለስ የወሰዱት አቋም የሚያዋጣ አይደለም። ነፃ ገበያ ያለምንም ግፊት ለአገሪቷ እድገት መንግስት በሚወጥነው ልማት ላይ የገንዘብ ድርጅቱ እስካልተስማማ ድረስ የሚሠጠን ብድር በአፍንጫችን ይውጣ የሚል አቋም የወሰዱት አቶ መለስ ብቻ አይደሉም። እንደ ኡጋንዳ ያሉ አገሮችም የ/እ.ም.ፍ/ ቀጭን ትዕዛዝ አይቀበሉም።
ከ/ፍ/ቤት,ከፍተኛ ፍርድ ቤት,የፌዴራሉ ከ/ፍ/ቤት ም/ፕሬዝዳንት የሆኑት አቶ ሃጎስ ወልዱ ከታህሳስ 20 ቀን 1992 ዓ.ም ጀምሮ እንዲሰናበቱ መወሰኑን አስታውቆ ላደረጉት አስተዋፅዖ ምሥጋና በማቅረብ ለወደፊቱ መልካም ዕድል እንዲገጥማቸው ተመኝቷል።
ከመ/አለቃ,ከመቶ አለቃ,ሻዕቢያ በፖለቲካ ተፅዕኖ ምክንያት እየተማረሩ ያሉትን የኢትዮጵያ ፓይለቶችን ከሀገር እየከዱ እንዲቀላቀሉት ለማባበል በቀድሞ መንግስት ያገለገሉ አብራሪዎች የተወሰነ ጊዜ ብቻ አገልግሎት እየሰጡ ወደ ፈለጉት ሀገር መሻገር እንዲችሉ ፈቃደኝነቱን እያሳየ ነው። በዚህ መልኩ ኤርትራ ውስጥ የተወሰነ አገልግሎት ሰጥተው ወደ አሜሪካ ከተሻገሩት አብራሪ መኮንኖች መሃል ከመ/አለቃ ክንዴ ዳምጤ ሌላ ሌ/ኮ/ል ግርማ ጫላ እንደሚገኙበት የሚገልፁት ባልዳረባችን ያነጋገራቸው ውስጥ አዋቂዎች በአሁኑ ሰአት ቢያንስ 4 አብራሪዎችና አንድ ቴክኒሽያን ኤርትራ ይገኛሉ። እነሱም የኢትዮጵያ አርበኞች ግንባር ሊቀመንበር የሆኑት ኮ/ል ታደሰ ሙሉነህ ሌ/ኮ/ል ማርቆስና ማስተር ቴክኒሻን ግርማ ለማ እንዲሁም ባለፈው ጥር 28/95 ከመቀሌ ኤል 39 የበረራ አውሮፕላን ይዘው አስመራ የገቡት ሻምበል ተሾመ ተንኮሉና መ/አ ሳሙኤል ገ/ማሪያም ናቸው። ቀድሞ የድሬደዋ ቤዝ አዛዥ የነበሩት ሌ/ኮል ዋጋሪ ገመቹ ደግሞ ኤርትራን ጨምሮ በጐረቤት አገራት ውስጥ ይንቀሳቀሳሉ ነው የሚባለው።
ከማ/ኮ,ከማዕከላዊ ኮሚቴ,5. እንደሚታወቀው ሁሉ ከሰኔ 28/1993 ወዲህ የኦህዴድ ማ/ኮ ግምገማና የኦህዴድ የ10 ዓመት እንቅስቃሴ ግምገማ ተካሂዶ በተለያዩ የሰፊው ካድሬና አባላት ኮንፈረሶች እንዲሁም በምሁራን ኮንፈረንሶች ሪፖርት ተደርገው አስተያየቶች ተሰጥቶባቸዋል ተብሎ በመገናኛ ብዙሃን ተነግሯል። 100.000 አርሶ አደር አባላትም በኮንፈረሶች ውይይት ያደርጋሉ ተብሎ በመገናኛ ብዙሃን ተላልፏል። በዚህ ወር መጨረሻም የድርጅት ጉባዔ ስለሚካሄድ የተሳታፊዎች ምርጫም ተካሂዶ አስፈላጊው ዝግጅት ተጠናቋል ተብሏል። ሁሉም እንደሚያውቀው ከ1993 ጀምሮ እስከ ዛሬ ድረስ የኦህዴድ አባል ነበርኩኝ። ከነዚህ አመታት ውስጥ አብዛኛውን ጊዜ በአመራር አባልነት ሳገለግል ነበር። ስለሆነም ስለድርጅቱ የ10 ዓመት ሂደትና ስለአመራሩም አነሰም በዛም የተወሰነ እውቀት ስላለኝ በግምገማዎችና በኮንፈረንሶች ብሳተፍ ኖሮ ይጠቅም ነበር እንጂ አይጐዳም ነበር። ድርጅቱ በ15/10/93 ጽፎና የድርጅቱ ሊቀመንበር ፈርሞበት የድርጅቱ አርማ ያለበትና የድርጅቱ ማህተም ተደርጐበት በ22/10/93 የደረሰኝ ደብዳቤ እስከ ጉባዔ ድረስ ከማ/ኮ አባልነት ታግደሃል ይላል እንጂ ከድርጅት አባልነት ታግደሃል ወይም ተባረሃል አይልም። በ17/10/93 እና በ19/10/93 በጻፍኩት መሰረት እኔም በአባልነቴ ቀጥዬ የአባልነት ግዴታዬን ስወጣ ነበርኩኝ። ስለሆነም በግመማ መድረክም ሆነ በኮንፈረንሶች መሳተፍ ይገባኝ ነበር። ተሳትፎዬ መብቴም ብቻ ሳይሆን ለድርጅቱም ብሆን ትልቅ ጠቀሜታ ነበር። ግን ከነዚህ መድረኮች ባንዱ ላይ እንኳ እንድሳተፍ አልተጠራሁም። ስለሂደቱ እንደማንኛውም ዜጋ ከሚዲያ ነው የሰማሁት። ለድርጅቱ ጉባዔም አልተጠራሁም።
ከማ/ኮ/ው,ከማዕከላዊ ኮሚቴው,ሀ/ በ15/10/93 «ከማ/ኮ/ው ታግደሃል» ብሎ የወሰነው መድረክ በእለቱ ከሰዓት በፊት የወሰድኩት እርምጃ ለምን እንደሆነ በአካል ተገኝቼ በዝርዝር እንድገልጽ እድል ሳይሰጠኝ ነው። በአካልም ተገኝቼ በውሳኔው ላይ መከራከሬንና መቃወሜን እንዳቀርብ አልተደረገም። አሰራሩ ከሕገ ደንብ ውጭ ነው። ፍትሃዊና ዴሞክራሲያዊ አልነበረም።
ከም/መ/አለቃ,ከምክትል መቶ አለቃ,ከም/መ/አለቃ ወልዲት ግርማይ ገብረዝጊሔር ጋር የተገኘው ሌላው የምሥክር ወረቀት በተመሳሳይ መኮንኑ የጥምር ልዩ ኦፕሬሽን ሥልጠኛ በኢገር ኢኒሼቲቭ 97 በተካሄደ ወታደራዊ ልምምድ ከላይ በተጠቀሰው ወራትና ዓመት በአጥጋቢ ሁኔታ ማጠናቀቃቸውን ይገልፃል። የኤርትራ ካርታ የዩናይትድ ስቴትስና የኤርትራ ባንዲራዎች በሰፈሩበት በዚህ ምስክር ወረቀት ግርጌ በተመሳሳይ የኤርትራ ስፔሻል ፎርስ ማሰልጠኛ ማዕከል አዛዥ እንዲሁም የዩናይትድ ስቴትስ ስፔሻል ኦፕሬሽን ትሬይኒንግ አዛዥ የብሪያን አር ቫይን ፊርማ ሰፍሮበታል።
ከም/ቤቱ,ከምክር ቤቱ,በሌላ በኩል ደግሞ የኢትዮጵያ እስልምና ጉዳዮች ጠ/ም/ቤት ሐጅ መሐመድ አወል ረጃ ከእስር እንዳይለቀቁ ግፊት ማድረግ ላይ መሆኑን ከም/ቤቱ ሾልከው የወጡ ሰንዶች ለመረዳት ተችሏል።
ከም/ቤት,ከምክር ቤት,ሕወሓት ውስጥ ቀውስ ከመፈጠሩና ሁለት ጎራ ከመከፈላቸው በፊት በፍራንክፈርት ከተማ በሚዘጋጀው የትግራይ ተወላጆች ስብሰባ ላይ ከ300 በላይ ሰዎች ይገኙ ዕንደነበር ተያይዞ የመጣው ዜና ያስረዳል። በሕወሓት ውስጥ ልዩነት ተከስቶ እነ ስዬ ከታገዱ ወዲህ በውጭ ሐገር የሚኖሩ የትግራይ ተወላጆች በአቶ መለስ ቡድን ላይ ፊታቸውን ያዞሩ ሲሆን አብዛኛዎቹም በሲቢል ተቋም አይ.ሲ.ቲ.ዲ ስር በመደራጀት ጠ/ሚ/ሩንና ቡድናቸውን ጠንከርና መረር ባሉ ቃላት መፋለም ይዘዋል። በተያያዘ ዜናም በዩ.ኤስ.ኤ አሜሪካ ሲያትል ከተማ ነዋሪ የሆኑ የትግራን ተወላጆች በተመሣሣይ መልኩ በተዘጋጀው ስብሰባ ስይገኙ ቀርተዋል። የሲያትል ከተማ የትግራይ ተወላጆች ትግርኛ ተናናጋሪውን ብቻ ሣይሆን ለሁሉም ኢትዮጵያዊ ጥሪ መደርድግ ይገባዋል በቋንቋና በጎሳ መከፋፈሉ ይብቃ ሲሉ መቃወማቸውም ተመልክቷል። በአ/አበባ ተወላጆች በተለይም በመንግስት ስራና ስልጣን ላይ የሚገኙት ለአቶ መለስ ቡድን እጅ የሰጡ መሆናቸው በስፋት ቢታወቅም በትግራይ አካባቢ ያለው ሕዝባዊ ድጋፍ ለነስዬ መሆኑ በግልፅ እየታየ መምጣቱን ታዛቢዋች ይገልፃሉ በትግራይ የሚኖሩ የትግራይ ተወላጆች በግልፅ ተቃወሞ አደባባይ ባይወጡም ቢያንስ በዝምታና ባስመደገፍለአቶ መለስ ቡድን ያላቸውን ጥላቻ እደሚገልጹም ተመልክቷል። የአቶ መለስ ቡድን ግን በርምጃው ትክክለኛነት ተማምና የታገዱት ሰዎችን ከም/ቤት አባሮ በምትካቸው ሌሎችን ለማስመረጥ ዝግጅቱን አጠናቋል።ባለፈው ሣምንት ዘገባችን እንደተመለከተው በወ/ሪት አረጋሽ አዳነ በአቶ አውአሎም ወልዱና በአቶ አብርሃ ካሕሣይ ምትክ ሕወሓትን ወክለው የሚወዳደሩ ሰዎች ታውቀዋል። ባለፈው እሁድ ታትሞ የወጣው»ወጋሕታ» የትግርኛ ጋዜጣ እንዳመለከተው በአዲሶቹ የሕወሐት ዕጩዎች ላይ ሕዝቡ ተቃውሞውን እየገለፀ ይገኛል።
